table_name,retailer,region,korea_time,country,mall_name
amazon_price_crawl_tbl_usa_v2,Amazon_USA,미국(오하이오),22:00,usa,amazon
bestbuy_price_crawl_tbl_usa_v2,BestBuy,미국(오하이오),23:00,usa,bestbuy
amazon_price_crawl_tbl_jp_v2,Amazon_JP,아시아(도쿄),09:00,jp,amazon
amazon_price_crawl_tbl_ind_v2,Amazon_IN,아시아(뭄바이),12:30,in,amazon
danawa_price_crawl_tbl_kr_v2,Danawa,아시아(서울),09:00,kr,danawa
amazon_price_crawl_tbl_uk_v2,Amazon_GB,유럽(런던),17:00,gb,amazon
currys_price_crawl_tbl_gb_v2,Currys,유럽(런던),17:00,gb,currys
amazon_price_crawl_tbl_it_v2,Amazon_IT,유럽(밀라노),16:00,it,amazon
amazon_price_crawl_tbl_es_v2,Amazon_ES,유럽(스페인),16:00,es,amazon
amazon_price_crawl_tbl_fr_v2,Amazon_FR,유럽(파리),16:00,fr,amazon
fnac_price_crawl_tbl_fr,Fnac,유럽(파리),17:00,fr,fnac
amazon_price_crawl_tbl_nl,Amazon_NL,유럽(파리),16:00,nl,amazon
coolblue_price_crawl_tbl_nl_v2,Coolblue,유럽(파리),16:00,nl,coolblue
amazon_price_crawl_tbl_de_v2,Amazon_DE,유럽(프랑크푸르트),16:00,de,amazon
mediamarkt_price_crawl_tbl_de_v2,MediaMarkt,유럽(프랑크푸르트),17:00,de,mediamarkt
xkom_price_crawl_tbl_pl_v2,X-Kom,유럽(프랑크푸르트),17:00,pl,x-kom
centrecom_price_crawl_tbl_au,CentreCom,호주,07:00,au,centrecom
